순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
1,강진성,NC,0.407,22,29,30,0.97,3,0.47,3.79,0.325,35.2,0.387
2,이정후,키움,0.388,27,41,49,0.84,4,1.46,3.86,0.261,41.0,0.365
3,로하스,KT,0.385,28,25,41,0.61,3,0.28,3.78,0.331,43.1,0.369
4,페르난데스,두산,0.377,18,62,38,1.63,2,1.15,3.81,0.183,35.6,0.332
5,이명기,NC,0.357,7,40,33,1.21,0,0.58,3.92,0.064,23.6,0.288
6,손아섭,롯데,0.356,15,50,42,1.19,4,1.79,3.89,0.119,32.9,0.315
7,라모스,LG,0.351,20,16,37,0.43,5,0.53,4.11,0.351,35.9,0.368
8,김현수,LG,0.349,21,45,52,0.87,3,0.82,3.68,0.174,31.0,0.308
9,배정대,KT,0.348,22,29,40,0.73,0,0.40,3.86,0.196,31.1,0.317
10,터커,KIA,0.342,25,37,45,0.82,2,0.75,3.80,0.292,36.1,0.345
11,김재호,두산,0.338,8,42,32,1.31,2,0.94,4.00,0.085,21.9,0.286
12,조용호,KT,0.331,6,41,23,1.78,6,1.00,4.42,0.050,20.0,0.283
13,김상수,삼성,0.318,10,38,39,0.97,0,0.85,4.05,0.068,24.6,0.286
14,박용택,LG,0.317,10,29,38,0.76,2,0.42,3.68,0.081,15.8,0.258
15,박건우,두산,0.314,18,29,60,0.48,4,0.67,3.92,0.154,27.9,0.289
16,최형우,KIA,0.312,13,38,40,0.95,5,1.24,4.02,0.191,30.2,0.314
17,나성범,NC,0.311,25,27,33,0.82,6,0.31,4.09,0.293,35.4,0.326
18,채은성,LG,0.305,12,39,45,0.87,5,0.44,3.67,0.149,22.8,0.274
18,박민우,NC,0.305,14,43,55,0.78,4,1.17,3.82,0.123,24.1,0.271
20,유강남,LG,0.304,10,35,28,1.25,3,0.31,3.61,0.144,19.5,0.276
21,양의지,NC,0.304,19,25,47,0.53,4,1.11,3.50,0.295,23.7,0.317
22,박동원,키움,0.302,17,37,32,1.16,4,0.57,3.76,0.271,26.2,0.310
23,이대호,롯데,0.301,14,44,48,0.92,4,1.21,3.38,0.179,27.5,0.296
24,전준우,롯데,0.293,21,43,49,0.88,0,0.32,3.57,0.213,26.9,0.277
25,박경수,KT,0.290,11,28,30,0.93,1,0.48,4.29,0.153,20.8,0.281
26,나지완,KIA,0.290,13,25,41,0.61,3,0.55,4.06,0.181,24.9,0.287
27,정진호,한화,0.288,3,42,29,1.45,0,0.50,3.67,0.024,14.0,0.229
28,김혜성,키움,0.287,12,29,34,0.85,1,0.47,3.90,0.178,21.0,0.276
29,살라디노,삼성,0.286,14,23,25,0.92,3,0.50,4.24,0.218,25.2,0.309
30,장성우,KT,0.285,9,33,32,1.03,1,0.32,3.82,0.138,16.0,0.251
31,마차도,롯데,0.284,14,48,42,1.14,1,0.33,3.92,0.148,22.1,0.252
32,최주환,두산,0.283,21,23,68,0.34,3,0.75,4.23,0.243,27.1,0.289
33,알테어,NC,0.279,16,26,30,0.87,4,0.27,3.83,0.264,26.7,0.296
34,서건창,키움,0.278,11,40,49,0.82,3,1.41,3.79,0.146,25.2,0.279
35,이천웅,LG,0.276,7,55,42,1.31,1,0.89,3.91,0.064,20.2,0.240
36,이학주,삼성,0.274,12,25,29,0.86,2,0.39,4.09,0.171,20.9,0.268
37,김하성,키움,0.272,19,32,63,0.51,1,1.22,3.88,0.235,32.2,0.302
38,정수빈,두산,0.270,9,52,34,1.53,0,0.56,3.89,0.092,15.0,0.235
39,박석민,NC,0.269,6,26,33,0.79,5,1.00,4.18,0.154,20.4,0.282
40,오지환,LG,0.267,11,33,34,0.97,1,0.26,4.20,0.141,21.3,0.250
41,안치홍,롯데,0.265,14,43,45,0.96,2,0.67,3.99,0.122,19.5,0.248
42,로맥,SK,0.264,19,26,49,0.53,2,0.91,4.22,0.229,28.1,0.298
43,김재환,두산,0.261,15,38,30,1.27,4,0.51,3.90,0.210,28.5,0.280
44,이용규,한화,0.259,3,45,25,1.80,1,1.25,4.35,0.043,15.2,0.247
45,최정,SK,0.257,15,27,49,0.55,2,1.00,3.93,0.213,26.2,0.297
46,황재균,KT,0.256,10,26,46,0.57,0,0.20,3.54,0.116,13.9,0.222
47,이원석,삼성,0.254,13,28,46,0.61,2,0.58,3.93,0.167,18.3,0.249
48,민병헌,롯데,0.254,9,43,35,1.23,3,0.40,3.69,0.094,14.3,0.230
49,정은원,한화,0.250,10,41,46,0.89,1,0.76,4.19,0.090,17.0,0.235
50,심우준,KT,0.240,6,46,39,1.18,1,0.42,4.13,0.058,15.5,0.212
51,박찬호,KIA,0.235,8,57,37,1.54,0,0.32,3.81,0.062,12.9,0.199
52,한동희,롯데,0.229,8,41,26,1.58,0,0.36,3.68,0.102,11.4,0.214
53,박병호,키움,0.228,12,19,37,0.51,4,0.57,4.29,0.235,27.0,0.282
