순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,구창모,NC,0.82,8,6,0,0,0,1.000,55,25,2,11,0,61,6,5,0.65
2,요키시,키움,1.63,9,6,2,0,0,0.750,55 1/3,43,2,9,2,40,16,10,0.94
3,스트레일리,롯데,2.10,9,1,2,0,0,0.333,55 2/3,39,2,17,0,62,14,13,1.01
4,브룩스,KIA,2.62,9,3,2,0,0,0.600,55,50,2,11,2,48,17,16,1.11
5,루친스키,NC,2.67,9,5,1,0,0,0.833,57 1/3,50,6,16,1,55,18,17,1.15
6,임기영,KIA,2.91,8,4,3,0,0,0.571,43 1/3,43,2,7,4,39,18,14,1.15
7,원태인,삼성,3.19,9,4,2,0,0,0.667,48,48,5,19,2,30,18,17,1.40
8,플렉센,두산,3.26,8,3,1,0,0,0.750,47,41,2,16,1,43,19,17,1.21
9,서폴드,한화,3.39,9,4,4,0,0,0.500,58 1/3,70,2,10,5,35,28,22,1.37
10,뷰캐넌,삼성,3.62,8,5,2,0,0,0.714,49 2/3,47,7,13,4,34,21,20,1.21
11,유희관,두산,3.68,8,5,1,0,0,0.833,44,51,4,16,1,15,22,18,1.52
12,알칸타라,두산,3.70,9,7,1,0,0,0.875,56,62,5,11,4,47,24,23,1.30
13,문승원,SK,3.72,8,1,3,0,0,0.250,46,44,4,10,2,45,21,19,1.17
14,라이트,NC,3.80,8,5,2,0,0,0.714,45,39,5,19,3,37,19,19,1.29
15,서준원,롯데,3.88,9,3,1,0,0,0.750,48 2/3,50,7,15,3,23,22,21,1.34
16,가뇽,KIA,3.94,8,3,3,0,0,0.500,45 2/3,39,1,13,3,49,23,20,1.14
17,배제성,KT,4.02,8,3,1,0,0,0.750,47,50,5,20,0,27,22,21,1.49
18,최원태,키움,4.18,9,3,3,0,0,0.500,51 2/3,56,6,9,3,35,27,24,1.26
19,윌슨,LG,4.18,8,3,2,0,0,0.600,47 1/3,44,3,15,0,35,23,22,1.25
20,핀토,SK,4.26,9,3,3,0,0,0.500,50 2/3,59,1,27,5,31,34,24,1.70
21,박종훈,SK,4.40,8,3,2,0,0,0.600,45,42,4,17,3,48,24,22,1.31
22,한현희,키움,4.47,8,3,2,0,0,0.600,46 1/3,56,2,11,7,33,25,23,1.45
23,데스파이네,KT,4.50,10,3,4,0,0,0.429,60,65,5,16,4,44,32,30,1.35
24,양현종,KIA,4.88,9,5,3,0,0,0.625,48,48,6,13,1,38,28,26,1.27
25,켈리,LG,5.00,8,3,2,0,0,0.600,45,50,4,12,2,35,26,25,1.38
26,이민우,KIA,5.12,8,3,2,0,0,0.600,45 2/3,44,3,15,3,30,30,26,1.29
27,노경은,롯데,5.20,8,3,3,0,0,0.500,45,46,8,11,0,29,27,26,1.27
28,김태훈,SK,5.44,8,1,4,0,0,0.200,43,34,3,25,3,24,26,26,1.37
29,소형준,KT,6.02,8,4,4,0,0,0.500,43 1/3,51,6,12,2,20,32,29,1.45
30,이영하,두산,6.23,8,1,3,0,0,0.250,43 1/3,57,1,24,4,31,35,30,1.87
