rank,name,team,AVG,XBH,GO,AO,GO_AO,GW_RBI,BB_K,P_PA,ISOP,XR,GPA
1,강진성,NC,0.442,18,22,21,1.05,2,0.67,3.80,0.358,30.3,0.423
2,페르난데스,두산,0.406,16,42,31,1.35,2,0.92,3.85,0.203,31.3,0.354
3,로하스,KT,0.391,20,18,29,0.62,3,0.25,3.68,0.313,32.3,0.368
4,라모스,LG,0.375,19,15,31,0.48,5,0.54,4.08,0.402,33.8,0.393
5,이정후,키움,0.369,19,33,40,0.83,2,1.27,3.74,0.231,30.1,0.344
6,김재호,두산,0.361,7,34,25,1.36,2,0.67,4.03,0.093,18.2,0.295
7,조용호,KT,0.360,5,29,18,1.61,5,1.18,4.50,0.056,16.9,0.303
8,배정대,KT,0.359,15,22,31,0.71,0,0.39,3.66,0.171,22.2,0.313
9,김현수,LG,0.358,17,34,42,0.81,3,1.20,3.70,0.179,25.2,0.319
10,오재일,두산,0.356,16,17,25,0.68,4,0.57,3.67,0.257,22.8,0.347
11,손아섭,롯데,0.341,9,38,34,1.12,3,2.18,3.93,0.106,25.8,0.311
12,박동원,키움,0.340,15,32,24,1.33,4,0.63,3.71,0.274,23.7,0.331
12,김선빈,KIA,0.340,8,36,21,1.71,2,1.31,3.90,0.075,18.2,0.300
14,이명기,NC,0.336,4,28,29,0.97,0,0.39,3.89,0.055,15.9,0.267
15,터커,KIA,0.333,20,34,35,0.97,2,0.74,3.72,0.288,28.8,0.338
16,이대호,롯데,0.322,11,29,39,0.74,4,1.06,3.38,0.157,22.5,0.302
17,나성범,NC,0.321,20,17,29,0.59,6,0.33,4.07,0.299,29.9,0.335
18,박민우,NC,0.320,14,35,45,0.78,3,1.38,3.76,0.148,21.4,0.288
19,나지완,KIA,0.310,12,24,28,0.86,3,0.56,3.95,0.195,22.3,0.305
20,황재균,KT,0.306,9,17,32,0.53,0,0.25,3.72,0.143,15.1,0.267
21,채은성,LG,0.306,10,29,35,0.83,4,0.36,3.65,0.157,18.5,0.275
22,김상수,삼성,0.305,7,26,28,0.93,0,1.00,3.98,0.067,17.8,0.287
23,양의지,NC,0.303,15,19,44,0.43,3,1.25,3.54,0.273,20.9,0.316
24,전준우,롯데,0.301,18,30,39,0.77,0,0.38,3.59,0.211,21.0,0.283
25,박용택,LG,0.300,8,22,33,0.67,2,0.41,3.72,0.080,12.1,0.248
26,최형우,KIA,0.296,11,31,35,0.89,2,1.35,3.99,0.200,24.8,0.309
27,서건창,키움,0.295,9,31,39,0.79,3,1.64,3.84,0.161,21.5,0.292
28,박건우,두산,0.287,14,23,50,0.46,4,0.67,3.80,0.148,19.1,0.271
29,정의윤,SK,0.286,2,27,26,1.04,1,0.64,3.83,0.022,9.7,0.235
29,노진혁,NC,0.286,10,24,24,1.00,1,0.48,3.98,0.190,17.1,0.283
31,박석민,NC,0.284,6,22,30,0.73,4,1.21,4.19,0.182,19.2,0.297
32,유강남,LG,0.283,9,26,24,1.08,1,0.32,3.64,0.172,15.4,0.272
33,박경수,KT,0.282,9,25,25,1.00,1,0.44,4.28,0.165,16.9,0.276
34,알테어,NC,0.278,14,23,27,0.85,4,0.33,3.83,0.278,23.1,0.304
35,김하성,키움,0.278,16,26,53,0.49,1,1.35,3.87,0.226,26.4,0.302
36,김민성,LG,0.277,9,22,33,0.67,1,0.63,4.03,0.109,13.5,0.257
36,장성우,KT,0.277,9,30,29,1.03,1,0.38,3.73,0.168,13.2,0.252
38,살라디노,삼성,0.277,11,19,22,0.86,2,0.50,4.25,0.223,19.9,0.303
39,정진호,한화,0.275,2,36,26,1.38,0,0.53,3.80,0.018,11.5,0.222
40,로맥,SK,0.270,15,21,37,0.57,2,0.93,4.28,0.217,23.3,0.302
41,안치홍,롯데,0.268,12,39,39,1.00,2,0.75,4.09,0.126,17.3,0.251
42,이천웅,LG,0.263,7,47,35,1.34,1,0.67,3.90,0.075,15.8,0.229
43,정수빈,두산,0.259,6,39,29,1.34,0,0.53,3.95,0.080,11.4,0.223
44,정은원,한화,0.257,8,29,35,0.83,1,0.71,4.20,0.092,13.3,0.241
45,최주환,두산,0.252,14,17,54,0.31,2,0.53,4.30,0.226,17.3,0.260
46,민병헌,롯데,0.250,8,32,27,1.19,3,0.41,3.83,0.111,11.7,0.237
47,심우준,KT,0.246,4,39,35,1.11,0,0.39,4.17,0.037,13.0,0.209
48,김동엽,삼성,0.245,9,31,34,0.91,1,0.26,3.27,0.173,11.9,0.231
49,이원석,삼성,0.245,10,22,33,0.67,2,0.53,3.96,0.191,14.2,0.248
50,김재환,두산,0.244,12,29,23,1.26,2,0.39,3.81,0.211,19.7,0.262
51,최정,SK,0.238,10,21,39,0.54,1,1.15,4.07,0.133,17.8,0.274
52,마차도,롯데,0.230,11,40,35,1.14,1,0.32,3.97,0.164,14.6,0.222
53,이성열,한화,0.226,4,29,25,1.16,1,0.14,3.68,0.075,7.9,0.196
54,오지환,LG,0.221,8,25,29,0.86,1,0.23,4.26,0.154,14.4,0.223
55,한동희,롯데,0.220,7,33,23,1.43,0,0.30,3.67,0.090,8.5,0.204
56,호잉,한화,0.218,7,18,34,0.53,0,0.22,3.64,0.149,8.9,0.209
57,박찬호,KIA,0.217,7,48,32,1.50,0,0.31,3.71,0.065,10.0,0.190
58,박병호,키움,0.200,8,18,32,0.56,4,0.56,4.32,0.183,18.8,0.252
